RegionName,RegionType,StateName,State,City,Metro,CountyName,2024-11-30
33486,zip,FL,FL,Boca Raton,"Miami-Fort Lauderdale-Pompano Beach, FL",Palm Beach County,250742.0389159751
28786,zip,NC,NC,Waynesville,"Asheville, NC",Haywood County,352741.8724381041
32952,zip,FL,FL,Merritt Island,"Palm Bay-Melbourne-Titusville, FL",Brevard County,185341.15577371177
99202,zip,WA,WA,Spokane,"Spokane-Spokane Valley, WA",Spokane County,302085.53218408854
15143,zip,PA,PA,Sewickley,"Pittsburgh, PA",Allegheny County,246765.6641036014
7094,zip,NJ,NJ,Secaucus,"New York-Newark-Jersey City, NY-NJ-PA",Hudson County,498328.3828039285
48854,zip,MI,MI,Mason,"Lansing-East Lansing, MI",Ingham County,177412.31338499094
92532,zip,CA,CA,Lake Elsinore,"Riverside-San Bernardino-Ontario, CA",Riverside County,534174.9107421222
34677,zip,FL,FL,Oldsmar,"Tampa-St. Petersburg-Clearwater, FL",Pinellas County,208120.44512760537
99203,zip,WA,WA,Spokane,"Spokane-Spokane Valley, WA",Spokane County,393630.6613866587
28075,zip,NC,NC,Harrisburg,"Charlotte-Concord-Gastonia, NC-SC",Cabarrus County,267246.2383564921
89169,zip,NV,NV,Las Vegas,"Las Vegas-Henderson-Paradise, NV",Clark County,201407.66774535633
48813,zip,MI,MI,Charlotte,"Lansing-East Lansing, MI",Eaton County,212995.2354568526
30307,zip,GA,GA,Atlanta,"Atlanta-Sandy Springs-Alpharetta, GA",Dekalb County,378376.6171624609
75116,zip,TX,TX,Duncanville,"Dallas-Fort Worth-Arlington, TX",Dallas County,169062.32819889905
92354,zip,CA,CA,Loma Linda,"Riverside-San Bernardino-Ontario, CA",San Bernardino County,536023.2688779146
20871,zip,MD,MD,Clarksburg,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Montgomery County,397411.3604362433
44108,zip,OH,OH,Cleveland,"Cleveland-Elyria, OH",Cuyahoga County,272681.1291016617
4011,zip,ME,ME,Brunswick,"Portland-South Portland, ME",Cumberland County,411586.6018976911
93023,zip,CA,CA,Ojai,"Oxnard-Thousand Oaks-Ventura, CA",Ventura County,709300.2990112411
6825,zip,CT,CT,Fairfield,"Bridgeport-Stamford-Norwalk, CT",Fairfield County,461703.7519500664
84737,zip,UT,UT,Hurricane,"St. George, UT",Washington County,388969.8588306315
33606,zip,FL,FL,Tampa,"Tampa-St. Petersburg-Clearwater, FL",Hillsborough County,502117.5761047134
15241,zip,PA,PA,Pittsburgh,"Pittsburgh, PA",Allegheny County,284708.28336526244
8879,zip,NJ,NJ,South Amboy,"New York-Newark-Jersey City, NY-NJ-PA",Middlesex County,498384.65893734153
